pj_no	jukyo	chiseki_js_hb	chiseki_kb_hb	yoto1	yoto2	kempei1	kempei2	yoseki1	yoseki2	josui	gesui	gas	usui	tateuri_su	tochiuri_su	joken_su	hy1f_date_su	hy2f_date_su	hy3f_date_su	road1_hk	road1_sb	road1_fi	road1_mg	road2_hk	road2_sb	road2_fi	road2_mg	road3_hk	road3_sb	road3_fi	road3_mg	road4_hk	road4_sb	road4_fi	road4_mg	kaoku_um	kaoku_hb	yheki_kotei	yheki_umu	yheki_yohi	gk_sho_kyori	gk_chu_kyori	kborjs	hw_status	toshikuiki1	toshikuiki2	kodochiku	chikukeikaku	keikakuroad	kaihatsukyoka	t53kyoka	hokakyoka	bokachiiki	minmenseki	hokakisei1	hokakisei2	hokakisei3	hokakisei4	kinshijiko	rosenka_hb	koji_hb	kijun_hb	mseki_yt_hb	mseki_rd_hb	mseki_dp_hb	tc_mseki_min_hb	tc_mseki_max_hb	tt_mseki_min_hb	tt_mseki_max_hb	tc_mseki_avg_hb	tt_mseki_avg_hb	fi4m_yohi	fi3m_yohi	fi4m_kyori	fi3m_kyori	bus_yohi	bus_hon	sho_conv	sho_super	sho_shoten	sho_market	shu_jutaku	shu_park	shu_shop	shu_factory	shu_hvline	shu_tower	shu_bochi	shu_sogi	shu_zoki	shu_kokyo	shu_highway	shu_kaido	shu_line_ari	shu_line_nashi	shu_soon	gk_yoc_tm	gk_sho_tm	gk_chu_tm	rs_e_kdate2	rs_e_kdate3	rs_e_parking	rs_e_zoki	rs_e_m_ari	rs_e_m_nashi	rs_e_tahata	rs_w_kdate2	rs_w_kdate3	rs_w_parking	rs_w_zoki	rs_w_m_ari	rs_w_m_nashi	rs_w_tahata	rs_s_kdate2	rs_s_kdate3	rs_s_parking	rs_s_zoki	rs_s_m_ari	rs_s_m_nashi	rs_s_tahata	rs_n_kdate2	rs_n_kdate3	rs_n_parking	rs_n_zoki	rs_n_m_ari	rs_n_m_nashi	rs_n_tahata	rosen_nm1	eki_nm1	bas_toho1	eki_kyori1	bastei_nm1	teiho1	rosen_nm2	eki_nm2	bas_toho2	eki_kyori2	bastei_nm2	teiho2
0	埼玉県朝霞市泉水	109.26	109.1	工業地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	私道	4.0	7.0	東	私道	4.0	10.0			0.0	0.0			0.0	0.0	（無）	0.0	0.6	（無）	（不要）	800	1000	実測	更地	市街化区域		第2種	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	135000	188000	197000	109.26	0.0	0.0	109.26	109.26	104.43	104.43	109.26	104.43	（不要）	（不要）	0.0	0.0	（不要）						○															19.0	10	13								○								○													東武東上線	朝霞台	徒歩	17								
1	埼玉県川越市大字的場	136.15	136.0	第一種低層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	4.2	9.3			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	1680	1840	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域			農地法			（無）	68000	84900	48600	136.15	0.0	0.0	136.15	136.15	109.1	109.1	136.15	105.16	（不要）	（不要）	0.0	0.0	（不要）						○															15.0	21	23	○							○														○							JR川越線	的場	徒歩	13								
2	埼玉県川口市安行原	86.92	86.52	第一種低層住居専用地域		50	0.0	100	0.0	私営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	私道	4.0	11.1	北	公道	3.8	5.2			0.0	0.0			0.0	0.0	（有）	62.1	0.2	（無）	（不要）	600	550	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	83000	116000	124000	86.92	0.0	0.0	86.92	86.92	85.96	85.96	86.92	85.96	（不要）	（不要）	0.0	0.0	（要）	35.0	○				○															19.0	8	7										○					○														埼玉高速鉄道線	新井宿	徒歩	27								
3	埼玉県草加市松江	164.91	164.07	工業地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	4.0	13.3			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	1220	111	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無						（無）	91000	122000	113000	164.07	0.0	0.84	164.07	164.07	105.99	105.99	164.07	105.99	（不要）	（不要）	0.0	0.0	（不要）						○															12.0	16	2	○							○																○					東武伊勢崎線	獨協大学前駅〈草加松原〉	徒歩	18								
4	埼玉県新座市野火止	403.58	403.58	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	南西	私道	4.0	13.9	北東	私道	4.0	13.9			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	480	2800	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域				埋蔵文化財		（無）	160000	179000	160000	334.58	0.0	0.0	111.52	111.53	89.27	89.27	111.52	88.73	（不要）	（不要）	0.0	0.0	（不要）		○				○															11.0	6	35	○							○																					JR武蔵野線	新座	徒歩	7								
5	埼玉県桶川市大字上日出谷字殿山	114.44	114.55	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	4.0	11.2	北東	公道	4.0	7.8			0.0	0.0			0.0	0.0	（有）	69.0	0.2	（無）	（不要）	700	2200	公簿	建物有	市街化区域		指定無	（有）	（無）	（不要）	（不要）	（不要）	22条区域	100.0					（無）	0	83100	85300	114.44	0.0	0.0	114.0	114.0	98.95	98.95	114.44	98.95	（不要）	（不要）	0.0	0.0	（要）	66.0					○															20.0	9	28	○							○							○							○							JR高崎線	桶川	バス	7		8.0						
6	埼玉県さいたま市見沼区片柳字南台	531.98	498.06	指定のない区域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	0.0	2.0	0.0	0.0	0.0	0.0	南西	公道	16.4	23.6	南東	公道	7.9	25.4			0.0	0.0			0.0	0.0	（有）	157.82	1.2	（無）	（不要）	1500	1040	公簿	建物有	市街化調整区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無						（無）	0	42600	99000	515.98	16.0	0.0	241.73	274.25	0.0	0.0	257.99	0.0	（不要）	（不要）	0.0	0.0	（不要）						○								○			○				19.0	19	13				○																	○	○							JR武蔵野線	東浦和	バス	13		1.0						
7	埼玉県上尾市東町	242.78	242.78	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	東	公道	4.0	10.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	500	1000	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	68000	105000	96500	242.78	0.0	0.0	109.44	133.34	94.77	95.58	121.39	95.17	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○															14.0	7	13	○														○							○							JR高崎線	上尾	徒歩	22								
8	埼玉県狭山市中央	224.99	224.99	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	1.0	0.0	0.0	1.0	0.0	西	公道	6.0	12.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	450	600	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	96000	119000	139000	224.99	0.0	0.0	112.48	112.51	91.0	91.0	112.49	91.0	（不要）	（不要）	0.0	0.0	（要）	82.0	○	○			○															4.0	6	8	○								○						○							○							西武新宿線	狭山市	バス	5		2.0						
9	埼玉県北葛飾郡杉戸町大字堤根	1010.0	1002.0	指定のない区域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	南西	公道	4.0	28.5			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.8	（無）	（不要）	1200	1100	公簿	造成上り	市街化調整区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無						（無）	0	15500	59100	1010.0	0.0	0.0	300.0	370.0	105.99	105.99	336.66	105.99	（不要）	（不要）	0.0	0.0	（不要）		○				○															12.0	15	14	○									○					○							○							東武日光線	東武動物公園	徒歩	32								
10	埼玉県所沢市中新井	166.37	166.0	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	16.0	12.3	東	私道	4.0	15.6			0.0	0.0			0.0	0.0	（有）	104.74	0.1	（無）	（不要）	560	1360	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域			農地法			（無）	115000	146000	172000	166.0	0.0	0.0	167.02	167.02	110.96	110.96	166.0	110.96	（不要）	（不要）	0.0	0.0	（不要）																	○				7.0	7	17								○														○							西武新宿線	新所沢	徒歩	21								
11	埼玉県川口市西川口	84.62	84.62	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	8.0	5.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	450	800	公簿	更地	市街化区域		指定無	（無）	（有）	（不要）	（不要）	（不要）	準防火地域	0.0					（無）	205000	258000	344000	84.62	0.0	0.0	84.62	84.62	92.0	92.0	84.62	92.0	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○															7.0	6	10															○							○							JR京浜東北線	西川口	徒歩	7								
12	埼玉県加須市花崎	212.61	212.61	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0				1.0	0.0	北	公道	4.0	12.0	東	公道	6.0	14.7			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	870	1310	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	準防火地域	0.0	景観法				（無）	36000	42500	43000	212.61	0.0	0.0	212.61	212.61	97.0	97.0	212.61	97.0	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○															8.0	11	17								○							○							○							東武伊勢崎線	花崎	徒歩	15								
13	埼玉県所沢市中富南	289.9	289.89	第一種中高層住居専用地域		60	0.0	150	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	6.0	12.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	1000	2300	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	89000	114000	115000	289.9	0.0	0.0	128.6	161.29	103.0	104.0	144.95	103.5	（不要）	（不要）	0.0	0.0	（要）	10.0	○	○			○															32.0	13	29	○							○														○							西武新宿線	航空公園	バス	5		5.0						
