id	pj_no	keiyaku_pr	tc_mseki	tt_mseki	levelplan	fukuin	road_st	magutchi	setsudo_hi	setsudo_kj	jigata	hiatari	niwasaki	garage	kobetsu1	kobetsu2	kobetsu3	kobetsu4
train_0000	0	39800000	109.26	104.43	2F/4LDK	4.0	問題なし	9.9	東	良い	整形地	普通	4.0	1	床暖房付			
train_0001	1	22300000	136.11	105.16	2F/4LDK	4.2	問題なし	9.3	北西	普通	不整形地	普通	3.0	1				
train_0002	2	19800000	87.07	85.94	2F/4LDK	4.0	問題なし	11.1	東	普通	整形地	普通	2.8	1				
train_0003	3	33990000	163.75	105.98	2F/4LDK	4.0	問題なし	10.5	南	普通	整形地	良い	4.0	2				
train_0004	4	30800000	111.51	89.01	2F/4LDK	4.0	問題なし	13.5	北	良い	整形地	普通	2.0	2	床暖房付			
train_0005	4	35800000	111.53	89.01	2F/4LDK	4.0	問題なし	7.0	南	良い	整形地	良い	2.0	2	床暖房付			
train_0006	4	35300000	111.53	88.18	2F/3LDK	4.0	問題なし	6.8	南	良い	整形地	良い	4.0	2	床暖房付			
train_0007	5	21496297	114.44	98.95	2F/4LDK	4.0	問題なし	7.8	東	普通	整形地	普通	3.19	1	眺望良	角地		
train_0008	6	19200000	274.25	0.0	2F/4LDK	7.1	問題なし	10.3	南東	良い	整形地	良い	2.65	2	眺望良			
train_0009	6	17900000	241.73	0.0	2F/4LDK	7.4	問題なし	7.9	南東＋北西	良い	整形地	良い	6.84	2	眺望良	交通量多い		
train_0010	7	22400000	133.34	94.77	2F/4LDK	4.0	問題なし	2.7	西	普通	敷地延長	普通	1.0	2	眺望良			
train_0011	7	24000000	109.44	95.58	2F/4LDK	4.0	問題なし	6.1	西	普通	不整形地	良い	1.0	2	眺望良			
train_0012	8	23000000	112.48	91.0	2F/3LDK	6.2	問題なし	2.7	西	良い	敷地延長	普通	2.7	2	宅内高低差あり			
train_0013	8	16000000	112.51	0.0		6.1	問題なし	9.3	西	良い	整形地	普通	0.0	0	宅内高低差あり			
train_0014	9	24500000	386.26	105.99	2F/4LDK	4.0	問題なし	4.0	南西	普通	間口狭・奥行長	普通	14.0	2				
train_0015	9	21800000	325.45	105.99	2F/4LDK	4.0	問題なし	4.0	南西	普通	間口狭・奥行長	普通	15.0	2				
train_0016	9	22500000	300.51	105.16	2F/4LDK	4.0	問題なし	8.0	南西	良い	整形地	良い	15.49	2				
train_0017	10	40000000	167.02	110.96	2F/4LDK	16.0	歩道あり	11.4	南	良い	整形地	良い	5.0	2	眺望良		街道沿い	
train_0018	11	41000000	84.62	92.0	2F/2LDK	8.1	問題なし	5.8	西	良い	整形地	普通	5.34	1	裏道			
train_0019	12	21800000	212.61	97.0	2F/4LDK	6.0	問題なし	14.0	北＋東	良い	整形地	普通	5.0	2	角地			
train_0020	13	25000000	161.29	104.0	2F/4LDK	6.0	問題なし	3.0	南東	普通	敷地延長	良い	2.37	2	裏道			
train_0021	13	32500000	128.6	103.0	2F/4LDK	6.0	問題なし	9.0	南東	良い	整形地	良い	1.18	2	裏道			
train_0022	14	18900000	161.6	102.0	2F/4LDK	6.0	問題なし	11.1	北	良い	整形地	普通	3.9	2	行き止まり			
train_0023	14	21000000	150.46	101.0	2F/4LDK	6.0	問題なし	11.1	南	良い	整形地	良い	5.5	2	行き止まり			
train_0024	15	33679260	73.26	105.16	3F/4LDK	4.0	問題なし	7.3	西	良い	整形地	普通	1.0	1	眺望良			
train_0025	16	27500000	300.84	112.99	2F/4LDK	8.0	問題なし	15.8	東	良い	整形地	良い	7.48	4	角地	街道沿い	交通量多い	
train_0026	17	28300000	100.42	101.02	2F/4LDK	5.1	問題なし	5.8	北	良い	整形地	普通	7.0	1	角地			
train_0027	18	29900000	130.81	104.33	2F/4LDK	6.0	問題なし	10.5	北	良い	整形地	普通	3.0	2				
train_0028	18	28800000	130.81	105.57	2F/4LDK	6.0	問題なし	9.4	北	良い	整形地	普通	3.0	2				
train_0029	19	22500000	131.84	105.16	2F/4LDK	6.0	問題なし	12.7	南東	良い	整形地	良い	2.1	2				
train_0030	20	24300000	137.71	103.92	2F/4LDK	3.0	問題なし	13.0	東	普通	整形地	普通	3.0	2				
train_0031	20	24500000	137.7	103.92	2F/4LDK	3.0	問題なし	13.8	東	普通	不整形地	普通	3.0	2				
train_0032	21	24000000	238.0	108.89	2F/4LDK	12.0	歩道あり	2.5	西	普通	敷地延長	良い	9.6	3				
train_0033	21	22100000	286.0	106.81	2F/4LDK	12.0	歩道あり	2.5	西	普通	敷地延長	良い	15.5	3				
train_0034	21	31000000	199.0	122.55	2F/4LDK	12.0	歩道あり	15.0	西	良い	整形地	良い	7.3	3				
train_0035	22	34300000	110.26	97.71	2F/4LDK	8.6	問題なし	20.5	東	良い	不整形地	良い	8.24	1				
train_0036	23	29500000	129.73	93.0	2F/4LDK	4.2	問題なし	8.1	南	良い	整形地	良い	5.0	2	行き止まり途中			
train_0037	23	26600000	129.73	93.0	2F/4LDK	4.2	問題なし	8.1	南	良い	整形地	良い	3.0	2	行き止まり			
train_0038	24	25500000	98.59	91.91	2F/4LDK	4.0	問題なし	9.0	南	良い	整形地	良い	3.0	2				
train_0039	25	19900000	130.05	107.23	2F/4LDK	6.0	問題なし	9.7	南	良い	整形地	良い	5.1	2				
train_0040	25	19300000	139.62	105.98	2F/4LDK	6.0	問題なし	2.8	南	良い	敷地延長	悪い	2.1	2				
train_0041	25	20400000	130.05	105.16	2F/4LDK	6.0	問題なし	10.0	東＋南	良い	整形地	良い	5.4	2	角地			
train_0042	25	22500000	130.05	105.16	2F/4LDK	4.0	問題なし	10.5	東	良い	整形地	普通	2.0	5				
train_0043	26	31000000	132.02	108.06	2F/4LDK	4.0	問題なし	8.0	東	普通	整形地	普通	3.6	2				
train_0044	27	24500000	92.07	89.63	2F/4LDK	4.0	問題なし	11.3	西	良い	整形地	普通	3.2	1				
train_0045	28	17000000	157.28	103.68	2F/4LDK	4.5	問題なし	11.2	北西	良い	整形地	良い	3.59	2				
train_0046	29	32980000	117.4	105.16	2F/5LDK	4.0	問題なし	9.0	北西	普通	整形地	良い	1.0	1				
train_0047	29	36000000	117.62	105.16	2F/5LDK	4.0	問題なし	9.0	北西	普通	整形地	普通	1.0	1				
