PassengerId,Pclass,Sex,Age,0_Dr,0_Master,0_Miss,0_Mr,0_Mrs,SibSp,Fare,C,Q,S
1,3,0,22,0,0,0,1,0,1,7.25,0,0,1
2,1,1,38,0,0,0,0,1,1,71.2833,1,0,0
3,3,1,26,0,0,1,0,0,0,7.925,0,0,1
4,1,1,35,0,0,0,0,1,1,53.1,0,0,1
5,3,0,35,0,0,0,1,0,0,8.05,0,0,1
6,3,0,29,0,0,0,1,0,0,8.4583,0,1,0
7,1,0,54,0,0,0,1,0,0,51.8625,0,0,1
8,3,0,2,0,1,0,0,0,3,21.075,0,0,1
9,3,1,27,0,0,0,0,1,0,11.1333,0,0,1
10,2,1,14,0,0,0,0,1,1,30.0708,1,0,0
11,3,1,4,0,0,1,0,0,1,16.7,0,0,1
12,1,1,58,0,0,1,0,0,0,26.55,0,0,1
13,3,0,20,0,0,0,1,0,0,8.05,0,0,1
14,3,0,39,0,0,0,1,0,1,31.275,0,0,1
15,3,1,14,0,0,1,0,0,0,7.8542,0,0,1
16,2,1,55,0,0,0,0,1,0,16.0,0,0,1
17,3,0,2,0,1,0,0,0,4,29.125,0,1,0
18,2,0,29,0,0,0,1,0,0,13.0,0,0,1
19,3,1,31,0,0,0,0,1,1,18.0,0,0,1
20,3,1,29,0,0,0,0,1,0,7.225,1,0,0
21,2,0,35,0,0,0,1,0,0,26.0,0,0,1
22,2,0,34,0,0,0,1,0,0,13.0,0,0,1
23,3,1,15,0,0,1,0,0,0,8.0292,0,1,0
24,1,0,28,0,0,0,1,0,0,35.5,0,0,1
25,3,1,8,0,0,1,0,0,3,21.075,0,0,1
26,3,1,38,0,0,0,0,1,1,31.3875,0,0,1
27,3,0,29,0,0,0,1,0,0,7.225,1,0,0
28,1,0,19,0,0,0,1,0,3,263.0,0,0,1
29,3,1,29,0,0,1,0,0,0,7.8792,0,1,0
30,3,0,29,0,0,0,1,0,0,7.8958,0,0,1
31,1,0,40,0,0,0,0,0,0,27.7208,1,0,0
32,1,1,29,0,0,0,0,1,1,146.5208,1,0,0
33,3,1,29,0,0,1,0,0,0,7.75,0,1,0
34,2,0,66,0,0,0,1,0,0,10.5,0,0,1
35,1,0,28,0,0,0,1,0,1,82.1708,1,0,0
36,1,0,42,0,0,0,1,0,1,52.0,0,0,1
37,3,0,29,0,0,0,1,0,0,7.2292,1,0,0
38,3,0,21,0,0,0,1,0,0,8.05,0,0,1
39,3,1,18,0,0,1,0,0,2,18.0,0,0,1
40,3,1,14,0,0,1,0,0,1,11.2417,1,0,0
41,3,1,40,0,0,0,0,1,1,9.475,0,0,1
42,2,1,27,0,0,0,0,1,1,21.0,0,0,1
43,3,0,29,0,0,0,1,0,0,7.8958,1,0,0
44,2,1,3,0,0,1,0,0,1,41.5792,1,0,0
45,3,1,19,0,0,1,0,0,0,7.8792,0,1,0
46,3,0,29,0,0,0,1,0,0,8.05,0,0,1
47,3,0,29,0,0,0,1,0,1,15.5,0,1,0
48,3,1,29,0,0,1,0,0,0,7.75,0,1,0
49,3,0,29,0,0,0,1,0,2,21.6792,1,0,0
50,3,1,18,0,0,0,0,1,1,17.8,0,0,1
51,3,0,7,0,1,0,0,0,4,39.6875,0,0,1
52,3,0,21,0,0,0,1,0,0,7.8,0,0,1
53,1,1,49,0,0,0,0,1,1,76.7292,1,0,0
54,2,1,29,0,0,0,0,1,1,26.0,0,0,1
55,1,0,65,0,0,0,1,0,0,61.9792,1,0,0
56,1,0,29,0,0,0,1,0,0,35.5,0,0,1
57,2,1,21,0,0,1,0,0,0,10.5,0,0,1
58,3,0,28,0,0,0,1,0,0,7.2292,1,0,0
59,2,1,5,0,0,1,0,0,1,27.75,0,0,1
60,3,0,11,0,1,0,0,0,5,46.9,0,0,1
61,3,0,22,0,0,0,1,0,0,7.2292,1,0,0
62,1,1,38,0,0,1,0,0,0,80.0,0,0,0
63,1,0,45,0,0,0,1,0,1,83.475,0,0,1
64,3,0,4,0,1,0,0,0,3,27.9,0,0,1
65,1,0,29,0,0,0,1,0,0,27.7208,1,0,0
66,3,0,29,0,1,0,0,0,1,15.2458,1,0,0
67,2,1,29,0,0,0,0,1,0,10.5,0,0,1
68,3,0,19,0,0,0,1,0,0,8.1583,0,0,1
69,3,1,17,0,0,1,0,0,4,7.925,0,0,1
70,3,0,26,0,0,0,1,0,2,8.6625,0,0,1
71,2,0,32,0,0,0,1,0,0,10.5,0,0,1
72,3,1,16,0,0,1,0,0,5,46.9,0,0,1
73,2,0,21,0,0,0,1,0,0,73.5,0,0,1
74,3,0,26,0,0,0,1,0,1,14.4542,1,0,0
75,3,0,32,0,0,0,1,0,0,56.4958,0,0,1
76,3,0,25,0,0,0,1,0,0,7.65,0,0,1
77,3,0,29,0,0,0,1,0,0,7.8958,0,0,1
78,3,0,29,0,0,0,1,0,0,8.05,0,0,1
79,2,0,0,0,1,0,0,0,0,29.0,0,0,1
80,3,1,30,0,0,1,0,0,0,12.475,0,0,1
81,3,0,22,0,0,0,1,0,0,9.0,0,0,1
82,3,0,29,0,0,0,1,0,0,9.5,0,0,1
83,3,1,29,0,0,1,0,0,0,7.7875,0,1,0
84,1,0,28,0,0,0,1,0,0,47.1,0,0,1
85,2,1,17,0,0,1,0,0,0,10.5,0,0,1
86,3,1,33,0,0,0,0,1,3,15.85,0,0,1
87,3,0,16,0,0,0,1,0,1,34.375,0,0,1
88,3,0,29,0,0,0,1,0,0,8.05,0,0,1
89,1,1,23,0,0,1,0,0,3,263.0,0,0,1
90,3,0,24,0,0,0,1,0,0,8.05,0,0,1
91,3,0,29,0,0,0,1,0,0,8.05,0,0,1
92,3,0,20,0,0,0,1,0,0,7.8542,0,0,1
93,1,0,46,0,0,0,1,0,1,61.175,0,0,1
94,3,0,26,0,0,0,1,0,1,20.575,0,0,1
95,3,0,59,0,0,0,1,0,0,7.25,0,0,1
96,3,0,29,0,0,0,1,0,0,8.05,0,0,1
97,1,0,71,0,0,0,1,0,0,34.6542,1,0,0
98,1,0,23,0,0,0,1,0,0,63.3583,1,0,0
99,2,1,34,0,0,0,0,1,0,23.0,0,0,1
100,2,0,34,0,0,0,1,0,1,26.0,0,0,1
101,3,1,28,0,0,1,0,0,0,7.8958,0,0,1
102,3,0,29,0,0,0,1,0,0,7.8958,0,0,1
103,1,0,21,0,0,0,1,0,0,77.2875,0,0,1
104,3,0,33,0,0,0,1,0,0,8.6542,0,0,1
105,3,0,37,0,0,0,1,0,2,7.925,0,0,1
106,3,0,28,0,0,0,1,0,0,7.8958,0,0,1
107,3,1,21,0,0,1,0,0,0,7.65,0,0,1
108,3,0,29,0,0,0,1,0,0,7.775,0,0,1
109,3,0,38,0,0,0,1,0,0,7.8958,0,0,1
110,3,1,29,0,0,1,0,0,1,24.15,0,1,0
111,1,0,47,0,0,0,1,0,0,52.0,0,0,1
