,id,title,category,depth
2,12,地理学,0,1
19,2097205,ソケット (電気器具),11,2
25,331706,大洲北只インターチェンジ,5,2
36,99,音楽,2,1
46,120,スポーツ,1,1
67,174,医学,6,1
106,1573128,フジクラソリューションズ,11,2
116,524578,地名学,0,1
128,316,飲む,8,1
171,524723,エルヴェ学院,7,2
195,2271997,アスリートネットワーク,1,2
248,1257003,KEIRINグランプリ07,1,2
283,3146454,日本大学生物資源科学部付属動物病院,10,2
329,2097980,フィブロネクチン,6,1
425,525359,関京戦,1,2
432,525369,エバーバンク・フィールド,1,2
435,2098236,越冬野菜,8,2
446,1110,経済学,4,1
481,3146918,あんぱん饅頭,8,2
497,1238,脳科学,6,1
498,699257,学校法人植草学園,7,2
524,1574186,学校法人共立薬科大学,7,2
533,1339,調理法,8,2
546,1390,地質学,0,1
592,1508,戦争,3,1
619,525848,関立戦,1,2
643,1574476,TOKYO FM トラフィック,5,1
663,3147384,エキメキ,8,2
685,2883869,トラベルカード・ゾーン,5,2
702,1747,教育学,7,1
709,1763,農学,10,1
722,1804,園芸学,10,2
752,313,食文化,8,1
775,1950,食事,8,2
811,1050610,合わせ,8,2
894,87747,獣医師,10,2
929,2261,イチゴシロップ,8,2
940,2623731,アジア太平洋アウトゲームズ,1,2
946,1575173,ソーサー,8,2
954,3148053,薬事法規マーケティング協会,8,2
970,2364,アーケードゲーム,8,2
1002,526740,クアルコム・スタジアム,1,2
1049,87812,シロアリ,8,2
1090,2671,学習,7,2
1129,527060,海老名運動公園,1,2
1170,2886,食材,8,2
1184,2922,集積回路,11,2
1271,3123,調味料,8,2
1290,2624592,アジア競技大会日本選手団,1,2
1299,3168,小売,4,1
1361,2100472,阿寒やきとり丼,8,2
1418,527734,小笠山総合運動公園,1,2
1441,1052086,プロジェクト:乗馬・馬術,1,2
1527,3149495,2009年アジアユースパラゲームズ,1,2
1528,3149497,2013年アジアユースパラゲームズ,1,2
1556,1576715,ティーカップ,8,2
1571,3872,交通,5,1
1622,3985,運輸業,5,1
1671,4102,旅客,5,1
